vertex,x,y,theta,near_x,near_y
1566,111.0,324.0,36.20577636665147,108.0,289.0
1567,393.0,506.0,34.152788403807996,425.0,520.0
1568,278.0,66.0,26.10273699373603,255.0,99.0
1569,592.0,462.0,25.378230598077767,545.0,474.0
1570,102.0,113.0,29.290920370057982,136.0,59.0
1571,234.0,327.0,32.602704205963946,218.0,366.0
1572,562.0,460.0,49.31661912031523,536.0,423.0
1573,660.0,419.0,59.91359003856553,684.0,413.0
1574,567.0,166.0,55.32298559792155,547.0,110.0
1575,439.0,67.0,53.453199770639834,469.0,66.0
1576,710.0,385.0,50.33835418733739,646.0,390.0
1577,323.0,329.0,18.196280670438956,279.0,295.0
1578,432.0,467.0,23.646766738490957,428.0,425.0
1579,533.0,485.0,53.149785273087836,601.0,503.0
1580,152.0,349.0,34.590856529775834,177.0,348.0
1581,481.0,66.0,46.237268078803375,503.0,93.0
1582,411.0,307.0,28.960148594172107,467.0,261.0
1583,195.0,303.0,21.753001860886656,273.0,322.0
1584,139.0,215.0,48.75695029294804,137.0,180.0
1585,284.0,492.0,22.20044384630939,343.0,480.0
1586,378.0,197.0,29.546754781945946,390.0,159.0
1587,233.0,426.0,47.319709710725746,311.0,410.0
1588,287.0,432.0,26.651008066638575,284.0,492.0
1589,433.0,303.0,34.94034758004238,507.0,273.0
1590,443.0,477.0,57.20273872434815,395.0,514.0
1591,206.0,272.0,24.32260357430091,182.0,247.0
1592,311.0,301.0,77.17356554198,321.0,350.0
1593,462.0,155.0,48.8736507081164,451.0,92.0
1594,612.0,286.0,48.6446377953334,616.0,206.0
1595,92.0,326.0,33.65453727353028,142.0,389.0
1596,270.0,320.0,38.618119269181,236.0,365.0
1597,316.0,465.0,25.841414879775673,284.0,492.0
1598,669.0,182.0,38.19905942433301,614.0,212.0
1599,488.0,304.0,30.298527474057497,467.0,261.0
1600,531.0,351.0,63.675766636306776,511.0,373.0
1601,419.0,526.0,60.12799527350495,463.0,505.0
1602,165.0,167.0,67.37388956367052,173.0,120.0
1603,355.0,456.0,25.600271613896247,284.0,492.0
1604,180.0,392.0,66.24693980023773,209.0,384.0
1605,305.0,453.0,57.704698745120325,281.0,508.0
1606,198.0,151.0,52.94401035336845,241.0,172.0
1607,487.0,408.0,55.02131459784605,485.0,352.0
1608,716.0,506.0,42.1805052747428,723.0,477.0
1609,221.0,294.0,32.9506713065701,218.0,366.0
1610,381.0,231.0,24.140541848282083,326.0,147.0
1611,613.0,113.0,47.32357309607838,642.0,107.0
1612,211.0,185.0,48.62612625726228,215.0,129.0
1613,650.0,263.0,47.491114820038995,702.0,243.0
1614,179.0,376.0,33.47342120118088,198.0,411.0
1615,727.0,377.0,55.22869427580158,714.0,325.0
1616,566.0,305.0,28.503763960530552,634.0,289.0
1617,672.0,97.0,49.77421825719379,632.0,76.0
1618,454.0,91.0,74.90057569606164,428.0,77.0
1619,544.0,353.0,48.91646618630321,524.0,265.0
1620,82.0,489.0,46.267593740842344,113.0,525.0
1621,396.0,237.0,24.12716712874012,383.0,216.0
1622,653.0,195.0,42.36042384589309,655.0,153.0
1623,326.0,451.0,16.24909991575639,367.0,426.0
1624,452.0,515.0,25.744636451267475,427.0,532.0
1625,189.0,281.0,30.361755014057344,158.0,226.0
1626,180.0,248.0,30.372404879956825,162.0,217.0
1627,620.0,388.0,57.50245780470682,585.0,437.0
1628,537.0,499.0,56.294026249976326,479.0,484.0
1629,670.0,536.0,55.21790510851923,659.0,492.0
1630,476.0,126.0,27.420037607044655,517.0,174.0
1631,260.0,85.0,51.033967536721555,215.0,129.0
1632,601.0,259.0,57.923950954080944,593.0,298.0
1633,489.0,387.0,32.45364159266157,452.0,449.0
1634,442.0,424.0,22.585800183492758,487.0,394.0
1635,204.0,494.0,56.40428684285302,174.0,490.0
1636,569.0,90.0,38.244362442944876,543.0,106.0
1637,595.0,314.0,55.64218214417671,562.0,271.0
1638,367.0,416.0,23.160325274344057,390.0,361.0
1639,508.0,369.0,28.712933049022382,571.0,339.0
1640,221.0,449.0,63.88061554106288,201.0,484.0
1641,358.0,187.0,58.0360670063613,354.0,237.0
1642,454.0,273.0,39.35347570321367,458.0,323.0
1643,246.0,146.0,20.718382741428844,264.0,206.0
1644,295.0,366.0,69.15173830739569,255.0,367.0
1645,646.0,75.0,56.562514908706056,582.0,76.0
1646,451.0,451.0,56.094841711872945,370.0,412.0
1647,454.0,224.0,30.1018824375222,429.0,127.0
1648,358.0,139.0,37.114110913272434,308.0,106.0
1649,219.0,467.0,58.92061609128993,276.0,523.0
1650,630.0,191.0,41.07203683225299,669.0,182.0
1651,582.0,324.0,45.286183806006946,564.0,392.0
1652,369.0,255.0,30.757045904267528,341.0,234.0
1653,390.0,299.0,30.112587430389755,377.0,252.0
1654,436.0,281.0,20.497877947637797,443.0,371.0
1655,173.0,164.0,32.78601902361694,162.0,217.0
1656,214.0,477.0,28.06126775059255,284.0,492.0
1657,290.0,417.0,63.93491659453308,265.0,467.0
1658,575.0,469.0,34.19089670246025,614.0,484.0
1659,456.0,369.0,21.312175280480442,487.0,394.0
1660,272.0,427.0,30.086711145492416,260.0,379.0
1661,66.0,333.0,48.02198390316849,116.0,270.0
1662,507.0,253.0,30.23841732589333,494.0,221.0
1663,341.0,229.0,24.83912793765221,274.0,209.0
1664,142.0,295.0,39.91755353364844,160.0,319.0
1665,643.0,323.0,30.093529468503288,634.0,289.0
1666,541.0,384.0,44.90246309627334,526.0,404.0
1667,599.0,342.0,32.91738698965386,597.0,377.0
1668,636.0,401.0,44.00277049112635,580.0,402.0
1669,655.0,229.0,58.60978776451493,676.0,269.0
1670,208.0,113.0,21.27882161624334,246.0,146.0
1671,629.0,431.0,25.834229967735236,592.0,462.0
1672,505.0,313.0,26.009977253376558,482.0,341.0
1673,392.0,408.0,39.52121102242563,414.0,495.0
1674,458.0,444.0,53.92431773173087,489.0,426.0
1675,651.0,362.0,61.15234667820606,658.0,302.0
1676,176.0,178.0,51.348120083610254,156.0,215.0
1677,421.0,89.0,43.975108262444806,386.0,89.0
1678,500.0,492.0,28.64894189403099,545.0,474.0
1679,461.0,229.0,51.22940109157403,444.0,254.0
1680,332.0,116.0,26.620611057593013,326.0,188.0
1681,548.0,449.0,35.93927872241366,562.0,378.0
1682,686.0,434.0,62.2227978704621,620.0,388.0
1683,545.0,109.0,59.494037017447546,604.0,121.0
1684,697.0,339.0,51.57701405769641,676.0,416.0
1685,181.0,114.0,64.42438500276323,182.0,177.0
1686,559.0,379.0,29.56446104394922,571.0,339.0
1687,515.0,435.0,24.1679847602581,487.0,394.0
1688,640.0,398.0,37.23629244737971,597.0,377.0
1689,288.0,163.0,42.07942659375059,308.0,106.0
1690,602.0,539.0,34.657199025367895,637.0,536.0
1691,347.0,126.0,44.87980636499385,313.0,168.0
1692,412.0,140.0,53.80030315324257,479.0,112.0
1693,198.0,409.0,61.53039353041708,183.0,355.0
1694,546.0,361.0,54.57368826411963,563.0,322.0
1695,217.0,237.0,46.910175567252615,266.0,248.0
1696,291.0,259.0,25.124507090896774,231.0,259.0
1697,540.0,355.0,28.740319585445434,571.0,339.0
1698,591.0,216.0,64.94870176212098,612.0,250.0
1699,341.0,310.0,53.77184990541972,378.0,296.0
1700,706.0,116.0,45.491311081907725,701.0,196.0
1701,191.0,158.0,56.18565386545912,141.0,139.0
1702,568.0,506.0,29.333316319898493,592.0,462.0
1703,251.0,540.0,60.29896558877669,276.0,523.0
1704,349.0,543.0,24.798256862478073,311.0,530.0
1705,281.0,290.0,30.548817530435528,250.0,253.0
1706,162.0,454.0,54.44317583400861,187.0,411.0
1707,199.0,429.0,40.723421729286734,224.0,432.0
1708,665.0,403.0,44.7887906654263,617.0,454.0
1709,217.0,91.0,65.63690214125371,302.0,121.0
1710,452.0,405.0,54.938701529989466,455.0,324.0
1711,371.0,163.0,35.37814163014661,391.0,141.0
1712,187.0,337.0,33.80106805250098,218.0,366.0
1713,179.0,101.0,57.330536014393914,141.0,139.0
1714,590.0,476.0,50.39545666070425,555.0,481.0
1715,658.0,79.0,46.82827608311109,691.0,89.0
1716,711.0,333.0,56.838158124480266,673.0,344.0
1717,136.0,361.0,36.7258039409977,111.0,324.0
1718,265.0,187.0,29.680312023417198,278.0,107.0
1719,223.0,321.0,32.86919528024826,218.0,366.0
1720,527.0,393.0,25.159858969278076,487.0,394.0
1721,680.0,417.0,33.096230688719416,683.0,447.0
1722,324.0,212.0,43.22651036310944,272.0,163.0
1723,285.0,483.0,44.130824825798456,250.0,488.0
1724,628.0,343.0,63.828120500964104,614.0,364.0
1725,610.0,340.0,29.40695972607843,634.0,289.0
1726,106.0,335.0,38.59059588697171,62.0,389.0
1727,96.0,293.0,37.068304719569184,72.0,275.0
1728,151.0,399.0,72.47607283614418,180.0,392.0
1729,385.0,354.0,41.96604674398576,416.0,289.0
1730,376.0,125.0,31.216924411178386,332.0,116.0
1731,477.0,103.0,47.20294709723005,531.0,99.0
1732,408.0,92.0,72.9233426833691,428.0,77.0
1733,634.0,229.0,26.706596172659708,634.0,289.0
1734,202.0,382.0,37.119769237682554,152.0,349.0
1735,426.0,401.0,41.42840581125864,484.0,362.0
1736,598.0,231.0,37.88593789777915,529.0,244.0
1737,335.0,207.0,76.20365246554272,285.0,259.0
1738,425.0,357.0,23.54527974209753,426.0,309.0
1739,439.0,327.0,29.439165356171046,467.0,261.0
1740,213.0,524.0,36.79476797051193,191.0,496.0
1741,292.0,312.0,24.430713295943477,246.0,273.0
1742,119.0,214.0,31.91429674455489,84.0,233.0
1743,100.0,251.0,46.31934095213982,133.0,286.0
1744,386.0,471.0,39.433676241295316,396.0,533.0
1745,265.0,452.0,58.112045556564766,264.0,522.0
1746,492.0,315.0,67.84707691587543,468.0,239.0
1747,590.0,195.0,32.46697550170306,578.0,217.0
1748,635.0,324.0,43.24989451611408,576.0,271.0
1749,147.0,381.0,43.180827107228986,112.0,345.0
1750,300.0,229.0,43.30381625551243,244.0,184.0
1751,175.0,290.0,33.99243779848022,234.0,327.0
1752,478.0,304.0,37.866303367288985,416.0,314.0
1753,374.0,257.0,31.882848017472522,294.0,298.0
1754,573.0,435.0,64.87319002162393,614.0,515.0
1755,79.0,379.0,48.963211189833295,66.0,333.0
1756,218.0,352.0,50.5317072563957,194.0,359.0
1757,491.0,393.0,43.07174890326697,460.0,354.0
1758,114.0,299.0,29.788508591238266,116.0,264.0
1759,176.0,364.0,63.75491528555018,149.0,400.0
1760,693.0,330.0,61.535194621960514,676.0,269.0
1761,616.0,453.0,33.5371285016647,645.0,501.0
1762,266.0,224.0,25.918852217803014,231.0,259.0
1763,706.0,379.0,57.16787580225875,665.0,408.0
1764,413.0,162.0,31.37375957147558,371.0,160.0
1765,394.0,424.0,58.8692288836779,443.0,477.0
1766,510.0,179.0,26.341310641910006,494.0,221.0
1767,721.0,446.0,49.6717388903691,676.0,416.0
1768,606.0,495.0,58.75378451358837,630.0,527.0
1769,181.0,450.0,39.67404545234847,213.0,524.0
1770,240.0,424.0,22.23875183555622,287.0,412.0
1771,602.0,92.0,38.45728460786864,551.0,140.0
1772,461.0,459.0,58.258109859457534,467.0,501.0
1773,367.0,344.0,30.257838412331395,343.0,289.0
1774,266.0,366.0,43.9637261213068,236.0,365.0
1775,621.0,194.0,47.51993089722724,663.0,177.0
1776,163.0,119.0,22.126431251659994,208.0,113.0
1777,714.0,340.0,50.77884657040822,667.0,367.0
1778,519.0,114.0,56.49283504154569,479.0,112.0
1779,701.0,351.0,69.09570572148448,659.0,350.0
1780,438.0,269.0,28.5538116302067,467.0,261.0
1781,480.0,205.0,55.19922434253863,469.0,158.0
1782,66.0,414.0,64.59947604037842,73.0,449.0
1783,284.0,335.0,32.988417059207336,284.0,389.0
1784,357.0,198.0,26.092972505425852,305.0,272.0
1785,248.0,417.0,18.273216428877323,198.0,384.0
1786,489.0,547.0,56.21189012811645,395.0,514.0
1787,183.0,461.0,55.25631662125315,175.0,432.0
1788,566.0,303.0,36.68594256395633,529.0,244.0
1789,425.0,345.0,23.526723712783177,426.0,309.0
1790,307.0,70.0,31.730446099739503,230.0,95.0
1791,637.0,313.0,54.128372702824024,673.0,281.0
1792,520.0,350.0,64.04122690194963,511.0,373.0
1793,207.0,187.0,32.00813851765804,162.0,217.0
1794,202.0,240.0,44.10358645862748,172.0,244.0
1795,170.0,63.0,26.586673118951097,163.0,119.0
1796,148.0,355.0,42.515183706470985,142.0,295.0
1797,205.0,357.0,37.557594121751976,152.0,349.0
1798,632.0,324.0,45.557380578326054,632.0,359.0
1799,321.0,496.0,50.88915479934983,264.0,537.0
1800,549.0,534.0,48.274758682863336,578.0,470.0
1801,166.0,343.0,59.8499934833045,265.0,327.0
1802,668.0,483.0,63.130996839236516,630.0,495.0
1803,608.0,451.0,59.58294701809514,662.0,457.0
1804,62.0,96.0,33.25058207989267,88.0,193.0
1805,289.0,330.0,24.20867334035968,246.0,273.0
1806,553.0,340.0,71.83167256704107,611.0,366.0
1807,409.0,242.0,39.51065445390387,419.0,283.0
1808,385.0,209.0,36.41840791513636,371.0,163.0
1809,353.0,446.0,44.007873368165875,304.0,447.0
1810,498.0,266.0,53.11728393182906,559.0,284.0
1811,152.0,148.0,31.2157285400435,93.0,136.0
1812,139.0,313.0,51.98456562344407,146.0,358.0
1813,611.0,416.0,53.00203000706871,694.0,451.0
1814,442.0,290.0,30.97020465962215,369.0,255.0
1815,505.0,468.0,29.54999392498305,515.0,435.0
1816,522.0,444.0,28.024162325253542,592.0,462.0
1817,626.0,457.0,58.976219300643024,649.0,477.0
1818,682.0,466.0,42.966717290493605,640.0,398.0
1819,237.0,426.0,32.572805035920126,214.0,477.0
1820,584.0,267.0,37.306712534871835,529.0,244.0
1821,81.0,359.0,46.80260437436341,147.0,381.0
1822,572.0,140.0,53.25047181152136,641.0,151.0
1823,558.0,275.0,36.88339859778242,529.0,244.0
1824,213.0,447.0,52.55538376497151,239.0,477.0
1825,572.0,488.0,54.58774330870012,593.0,438.0
1826,653.0,96.0,51.62751789443664,641.0,151.0
1827,623.0,407.0,26.196595928211075,592.0,462.0
1828,518.0,259.0,30.40048547152088,494.0,221.0
1829,251.0,109.0,34.253770284470136,285.0,120.0
1830,167.0,411.0,51.03575845651059,131.0,446.0
1831,646.0,489.0,62.98509675329269,606.0,495.0
1832,684.0,409.0,50.37361399117227,648.0,413.0
1833,260.0,253.0,27.786571309367964,291.0,269.0
1834,437.0,109.0,54.925043909655436,439.0,67.0
1835,449.0,331.0,20.69386908383335,468.0,400.0
1836,662.0,101.0,59.47236954041658,709.0,111.0
1837,368.0,420.0,45.042146419550754,353.0,446.0
1838,255.0,385.0,27.45220784993908,304.0,438.0
1839,173.0,258.0,36.376345781956964,153.0,180.0
1840,155.0,418.0,17.87646669360427,141.0,397.0
1841,524.0,319.0,30.619730972354805,467.0,261.0
1842,162.0,134.0,21.572221694162707,185.0,144.0
1843,197.0,456.0,53.70499005052247,254.0,438.0
1844,52.0,129.0,35.82371355526271,62.0,96.0
1845,195.0,327.0,40.089112093179075,236.0,365.0
1846,301.0,300.0,35.79531173668407,319.0,247.0
1847,392.0,456.0,32.46374524426475,357.0,517.0
1848,494.0,430.0,29.11163215716707,527.0,393.0
1849,436.0,437.0,56.402145517071276,377.0,428.0
1850,533.0,230.0,61.63816431803299,509.0,170.0
1851,497.0,120.0,50.33818631570118,437.0,124.0
1852,600.0,503.0,59.77115968980553,690.0,496.0
1853,450.0,297.0,29.413188243576325,467.0,261.0
1854,422.0,465.0,57.61856370731537,395.0,514.0
1855,111.0,174.0,63.80280468866893,86.0,211.0
1856,529.0,91.0,49.784767493769536,481.0,66.0
1857,65.0,105.0,46.106162672700606,83.0,135.0
1858,405.0,225.0,35.2944017064196,452.0,183.0
1859,129.0,435.0,29.57420326798979,142.0,389.0
1860,98.0,140.0,39.08371780605317,88.0,193.0
1861,486.0,356.0,65.37840749906334,511.0,373.0
1862,481.0,107.0,53.61093284402866,534.0,96.0
1863,559.0,291.0,37.45631906027845,489.0,274.0
1864,439.0,125.0,31.732936141074944,391.0,141.0
1865,468.0,236.0,28.794549230448073,494.0,221.0
1866,702.0,464.0,64.56515288274841,708.0,499.0
1867,646.0,79.0,38.82543003056192,628.0,117.0
1868,405.0,465.0,59.802719286771726,461.0,459.0
1869,553.0,397.0,48.51727276570413,563.0,344.0
1870,97.0,301.0,55.18918664068506,80.0,223.0
1871,624.0,124.0,51.23713106959045,588.0,176.0
1872,141.0,474.0,58.77856070775021,163.0,502.0
1873,105.0,470.0,45.68905488078606,113.0,525.0
1874,518.0,204.0,61.51321070835894,509.0,170.0
1875,595.0,130.0,37.91901997774949,551.0,140.0
1876,397.0,217.0,20.76986221215711,411.0,255.0
1877,88.0,364.0,41.49352099573524,126.0,335.0
1878,253.0,346.0,31.94378457282229,218.0,366.0
1879,631.0,231.0,44.06333643569575,568.0,236.0
1880,79.0,329.0,51.88688945816362,81.0,359.0
1881,167.0,292.0,24.87309405850901,119.0,279.0
